Longitude,Latitude,2014-11-08,2014-12-02,2014-12-26,2015-02-12,2015-03-08,2015-04-01,2015-04-25,2015-05-19,2015-06-12,2015-07-06,2015-07-30,2015-08-23,2015-09-16,2015-10-10,2015-11-03,2015-11-27,2015-12-09,2015-12-21,2016-01-14,2016-01-26,2016-02-07,2016-02-19,2016-03-02,2016-03-14,2016-03-26,2016-04-07,2016-04-19,2016-05-01,2016-05-13,2016-05-25,2016-06-06,2016-06-30,2016-07-24,2016-08-17,2016-09-10,2016-09-22,2016-10-04,2016-10-16,2016-10-28,2016-11-09,2016-11-21,2016-12-03,2016-12-15,2016-12-27,2017-01-08,2017-01-14,2017-01-20,2017-01-26,2017-02-01,2017-02-13,2017-02-25,2017-03-09,2017-03-21,2017-04-02,2017-04-14,2017-04-26,2017-05-08,2017-05-20,2017-06-01,2017-06-13,2017-06-25,2017-07-07,2017-07-19,2017-07-31,2017-08-12,2017-08-24,2017-09-05,2017-09-17,2017-09-29,2017-10-11,2017-10-23,2017-11-04,2017-11-16,2017-11-28,2017-12-10,2017-12-22,2018-01-03,2018-01-15,2018-01-27,2018-02-08,2018-02-20,2018-03-04,2018-03-16,2018-03-28,2018-04-09,2018-04-21,2018-05-03,2018-05-15,2018-05-27,2018-06-08,2018-06-20,2018-07-02,2018-07-14,2018-07-26,2018-08-07,2018-08-19,2018-08-31,2018-09-12,2018-09-24,2018-10-06,2018-10-18,2018-10-30,2018-11-11,2018-11-17,2018-11-23,2018-12-05,2018-12-17,2018-12-29,2019-01-10,2019-01-22
-119.8609,36.4613,0.0,-4.7954,0.083044,0.99152,-1.4881,1.8427,-2.159,-1.5699,-0.26169,-3.1324,-3.5216,-6.2936,-5.7695,-3.9252,-5.6368,-5.9895,-6.7045,-6.8561,-5.4828,-5.2905,-6.2768,-4.8785,-6.639,-6.3922,-3.011,-4.8561,-8.7918,-7.576,-5.819,-7.1534,-5.821,-7.1777,-7.9597,-8.8196,-7.9504,-11.35,-12.232,-11.777,-12.174,-12.429,-11.528,-11.127,-12.806,-11.065,-10.883,-11.973,-12.53,-11.331,-11.24,-11.336,-11.835,-11.652,-8.5668,-12.206,-10.559,-12.216,-12.057,-12.298,-11.129,-12.605,-11.247,-10.138,-10.629,-9.9578,-13.712,-9.9506,-12.866,-11.661,-15.211,-16.172,-14.921,-16.824,-15.832,-15.138,-14.558,-15.46,-15.012,-15.409,-14.064,-15.689,-15.229,-15.39,-15.797,-15.009,-16.143,-16.333,-15.969,-15.587,-16.05,-14.171,-15.354,-15.536,-15.281,,-14.506,-17.354,-18.936,-18.337,-17.865,-17.662,-19.815,-17.704,-19.348,-19.37,-21.324,-20.704,-19.428,-18.858,-19.69,-18.682
-119.8529,36.4493,0.0,-4.9131,-0.27088,0.28409,-2.5915,0.26641,-3.7189,-3.5093,-2.3435,-5.8838,-6.7456,-9.6764,-9.1414,-7.3281,-8.9762,-9.8058,-10.587,-10.727,-9.4578,-9.2949,-10.259,-9.0267,-10.901,-10.341,-7.2822,-8.8892,-13.348,-12.168,-10.412,-11.857,-10.362,-12.118,-13.088,-13.748,-13.038,-16.358,-17.392,-16.787,-17.138,-17.637,-16.982,-16.472,-17.712,-16.669,-16.501,-17.592,-18.147,-17.063,-16.931,-17.087,-17.694,-17.705,-14.683,-18.314,-16.689,-18.193,-17.949,-18.08,-17.235,-18.657,-17.049,-15.984,-16.32,-15.638,-19.257,-15.301,-18.141,-16.857,-20.424,-21.333,-20.219,-22.12,-21.324,-20.689,-20.247,-21.093,-20.537,-21.04,-19.741,-21.538,-21.477,-21.598,-22.023,-21.317,-22.427,-22.509,-22.419,-22.019,-22.719,-20.915,-21.827,-21.832,-21.586,,-21.018,-23.917,-25.61,-25.04,-24.304,-24.431,-26.345,-24.277,-25.952,-25.912,-27.885,-27.261,-26.128,-25.738,-26.473,-25.446
-119.8329,36.1092,0.0,-6.0224,1.0939,1.7369,-1.7625,1.9239,-1.9699,-2.0179,-3.2763,-3.8674,-4.2035,-6.9854,-6.7143,-6.0414,-5.9303,-7.8673,-8.4215,-7.3283,-7.7272,-5.9344,-7.5798,-6.7037,-8.0401,-6.9418,-5.1774,-5.3824,-9.1719,-8.0096,-7.4547,-8.9348,-6.5787,-9.6055,-10.822,-9.3021,-11.923,-13.908,-14.841,-14.032,-15.503,-16.415,-15.357,-14.889,-16.328,-14.651,-15.71,-14.718,-14.106,-13.377,-13.664,-12.663,-13.449,-13.15,-12.217,-13.835,-12.694,-13.808,-13.609,-12.672,-12.447,-13.355,-10.3,-11.633,-10.811,-10.823,-13.784,-8.7027,-12.691,-11.99,-13.121,-13.934,-14.132,-15.948,-13.608,-13.094,-13.519,-13.953,-14.7,-13.349,-12.183,-13.75,-13.802,-14.025,-14.092,-14.039,-15.055,-13.597,-15.105,-14.265,-15.207,-12.313,-14.541,-16.338,-15.943,,-13.881,-17.303,-18.542,-18.282,-17.547,-19.837,-20.306,-18.856,-20.325,-19.744,-22.113,-20.787,-20.198,-19.882,-20.683,-19.626
-119.8329,36.4253,0.0,-4.5438,0.23259,0.68066,-2.5621,0.04953,-3.7312,-3.9883,-2.9006,-6.6025,-7.2388,-9.8028,-9.1666,-7.7047,-8.874,-9.8433,-10.359,-10.605,-9.1788,-9.0299,-10.074,-8.7041,-11.183,-10.768,-7.7212,-9.4397,-14.03,-12.603,-11.164,-12.739,-11.501,-13.651,-14.693,-15.39,-15.191,-17.761,-19.039,-18.877,-19.168,-19.284,-18.506,-18.089,-18.429,-18.12,-17.794,-18.821,-19.434,-18.309,-18.256,-18.233,-19.031,-18.851,-16.126,-19.395,-18.02,-19.458,-19.321,-18.906,-18.658,-19.964,-18.303,-17.733,-17.874,-17.246,-20.597,-16.886,-19.936,-18.446,-21.917,-22.811,-22.026,-23.78,-22.905,-21.979,-21.764,-22.49,-21.981,-22.33,-20.788,-22.665,-23.024,-23.145,-23.59,-22.913,-24.257,-24.103,-24.284,-23.9,-24.934,-23.175,-24.034,-24.211,-24.046,,-23.922,-26.87,-28.746,-27.79,-26.844,-27.274,-28.861,-26.895,-28.646,-28.217,-30.255,-29.617,-28.44,-28.133,-28.851,-27.767
-119.8269,36.4433,0.0,-4.537,-0.017481,0.43645,-2.2548,0.26897,-3.3842,-3.0697,-2.2801,-5.562,-6.3003,-9.1844,-8.4343,-6.9636,-8.4843,-9.0021,-9.643,-9.8723,-8.5446,-8.4776,-9.5405,-8.1155,-10.475,-9.9146,-6.9075,-8.3324,-13.213,-11.687,-10.133,-11.404,-9.8731,-11.839,-12.688,-13.191,-12.369,-15.652,-16.754,-16.715,-16.786,-17.299,-16.617,-16.312,-17.294,-16.349,-16.239,-17.328,-17.846,-16.766,-16.558,-16.695,-17.421,-17.316,-14.342,-17.958,-16.581,-18.178,-18.058,-18.152,-17.566,-18.832,-17.282,-16.717,-17.025,-16.264,-19.665,-15.956,-19.105,-17.432,-20.754,-21.885,-21.019,-22.725,-21.876,-21.049,-21.113,-21.843,-21.35,-21.829,-20.368,-22.285,-22.447,-22.499,-22.974,-22.443,-23.634,-23.355,-23.627,-23.586,-24.254,-22.604,-23.653,-23.719,-23.424,,-23.188,-26.101,-27.805,-27.062,-26.143,-26.434,-28.256,-26.365,-27.987,-28.149,-29.851,-29.596,-28.461,-28.23,-28.9,-27.872
-119.8229,36.3793,0.0,-4.7026,0.27093,0.83192,-2.86,0.2445,-4.1247,-4.3805,-3.9559,-7.5498,-7.5445,-10.77,-10.71,-9.7446,-10.618,-11.686,-12.097,-12.371,-11.061,-10.809,-11.992,-10.662,-12.8,-12.638,-9.6331,-10.793,-15.645,-14.989,-14.28,-15.379,-14.129,-17.075,-18.617,-18.591,-19.303,-22.245,-23.297,-22.255,-23.617,-23.569,-22.954,-22.533,-22.331,-22.808,-22.388,-23.318,-23.895,-22.811,-22.995,-22.924,-23.776,-23.569,-21.181,-24.105,-22.68,-24.166,-24.144,-23.5,-23.531,-24.814,-23.087,-22.731,-22.865,-22.666,-25.904,-21.666,-24.761,-23.606,-27.143,-28.025,-27.403,-29.228,-27.976,-27.286,-27.197,-27.984,-27.904,-28.155,-26.516,-28.342,-28.539,-29.112,-29.446,-28.995,-30.248,-30.056,-30.356,-30.043,-30.545,-28.771,-29.834,-30.503,-30.294,,-29.544,-32.871,-34.496,-33.977,-33.243,-33.703,-35.448,-33.587,-35.309,-34.838,-37.05,-36.447,-35.44,-35.123,-35.716,-34.694
-119.8029,35.9552,0.0,-5.7733,1.6012,2.4245,-0.154,3.8882,0.81611,1.2726,0.74392,1.1967,1.1539,-0.012961,0.3999,0.90161,2.1208,-0.073474,-0.21172,0.89617,0.34344,2.2074,1.4686,1.6133,1.1552,2.8408,4.1852,5.692,1.893,3.0231,4.7195,2.934,6.3392,3.077,3.527,6.1022,3.6173,3.4498,3.8213,3.2263,1.0588,1.4356,2.8078,3.8577,1.7847,3.6196,3.7919,3.3751,3.3932,5.1605,4.6929,5.5786,4.5275,4.6968,5.0204,3.8867,4.9469,4.7865,4.7514,6.3365,5.8817,4.993,8.1188,6.5066,6.3762,7.5966,4.6332,9.0914,6.1012,5.2616,5.0729,4.0225,3.2838,2.3922,5.4631,4.9009,4.0464,4.0524,2.8325,4.5002,6.148,4.5482,4.6496,5.2981,5.7902,5.6217,6.1708,7.6773,5.6714,7.2981,6.4757,9.6731,7.3864,6.336,6.768,,9.8456,7.3002,5.9867,5.9131,7.8766,5.5823,5.796,7.1416,6.1341,7.0184,5.1254,3.848,6.6676,7.4187,6.4273,7.2625
-119.7989,36.4073,0.0,-4.6172,-0.024058,0.33445,-3.0024,0.081214,-4.3734,-4.0448,-3.3397,-7.0117,-6.8021,-9.4528,-9.2273,-8.2482,-9.1127,-9.8544,-10.148,-10.77,-9.5683,-9.4069,-10.42,-9.1603,-11.283,-10.782,-7.6917,-9.0619,-13.561,-13.279,-12.163,-13.247,-12.327,-14.708,-16.0,-15.981,-15.758,-19.01,-19.91,-19.45,-20.228,-20.234,-19.857,-19.395,-19.605,-19.865,-19.688,-20.648,-21.217,-20.388,-20.478,-20.459,-21.125,-20.901,-17.814,-21.598,-20.026,-21.634,-21.823,-21.352,-21.226,-22.308,-20.692,-20.483,-20.472,-19.725,-23.096,-19.509,-22.538,-20.806,-24.08,-25.289,-24.701,-26.371,-25.515,-24.684,-24.548,-25.672,-24.885,-25.302,-23.875,-25.865,-26.021,-26.219,-26.455,-25.952,-27.498,-27.141,-27.528,-26.996,-27.278,-25.514,-26.621,-27.149,-26.692,,-26.637,-29.173,-30.749,-30.245,-29.413,-30.102,-31.463,-29.598,-31.276,-31.0,-32.952,-32.481,-31.316,-31.308,-31.801,-30.856
-119.7969,36.3753,0.0,-4.5994,0.058793,0.11178,-3.2205,-0.47349,-4.759,-4.9987,-5.497,-9.1604,-9.0249,-12.5,-12.624,-11.708,-12.593,-13.656,-13.986,-14.392,-13.429,-13.186,-14.359,-13.226,-15.232,-15.026,-11.994,-12.767,-17.943,-17.409,-16.681,-17.777,-16.848,-19.514,-21.069,-20.807,-21.529,-24.732,-25.794,-25.186,-26.534,-26.369,-25.866,-25.491,-25.403,-25.733,-25.566,-26.24,-26.883,-26.067,-26.429,-26.242,-27.045,-26.806,-24.473,-27.541,-26.141,-27.485,-27.736,-27.093,-26.944,-28.224,-26.449,-26.311,-26.313,-25.794,-29.255,-25.3,-28.076,-26.878,-30.196,-31.319,-30.672,-32.45,-31.339,-30.662,-30.615,-31.454,-31.233,-31.529,-30.026,-32.046,-32.13,-33.037,-32.973,-32.822,-34.106,-33.696,-34.238,-33.921,-34.002,-32.382,-33.514,-34.25,-33.913,,-33.49,-35.915,-37.74,-37.342,-36.755,-37.38,-39.005,-37.218,-38.974,-38.536,-40.711,-40.281,-38.938,-39.075,-39.669,-38.849
-119.7949,36.1432,0.0,-5.7818,0.082152,0.24479,-3.936,-0.93168,-4.9513,-5.0792,-7.1469,-7.8334,-8.9366,-13.319,-13.278,-12.619,-13.268,-15.455,-16.205,-14.957,-15.655,-14.266,-16.056,-15.649,-17.214,-16.238,-14.631,-14.323,-18.544,-18.233,-17.209,-18.752,-16.571,-19.098,-21.436,-19.789,-21.511,-24.037,-25.369,-24.6,-25.889,-27.102,-26.465,-26.182,-28.158,-26.468,-26.584,-25.886,-26.033,-24.806,-24.952,-24.05,-24.764,-24.155,-22.716,-24.062,-22.598,-23.297,-22.864,-21.7,-20.801,-22.235,-19.318,-20.483,-18.932,-18.935,-21.367,-16.543,-20.037,-19.459,-21.221,-22.278,-22.368,-23.865,-21.544,-21.234,-21.547,-22.191,-22.917,-22.052,-20.779,-22.152,-22.589,-23.079,-23.459,-24.08,-25.454,-23.407,-25.748,-24.966,-26.703,-23.907,-26.252,-27.856,-28.365,,-26.514,-29.697,-31.681,-31.689,-31.184,-33.434,-34.328,-33.562,-34.97,-34.771,-36.817,-35.799,-34.946,-35.019,-35.895,-35.548
