Longitude,Latitude,2014-11-08,2014-12-02,2014-12-26,2015-02-12,2015-03-08,2015-04-01,2015-04-25,2015-05-19,2015-06-12,2015-07-06,2015-07-30,2015-08-23,2015-09-16,2015-10-10,2015-11-03,2015-11-27,2015-12-09,2015-12-21,2016-01-14,2016-01-26,2016-02-07,2016-02-19,2016-03-02,2016-03-14,2016-03-26,2016-04-07,2016-04-19,2016-05-01,2016-05-13,2016-05-25,2016-06-06,2016-06-30,2016-07-24,2016-08-17,2016-09-10,2016-09-22,2016-10-04,2016-10-16,2016-10-28,2016-11-09,2016-11-21,2016-12-03,2016-12-15,2016-12-27,2017-01-08,2017-01-14,2017-01-20,2017-01-26,2017-02-01,2017-02-13,2017-02-25,2017-03-09,2017-03-21,2017-04-02,2017-04-14,2017-04-26,2017-05-08,2017-05-20,2017-06-01,2017-06-13,2017-06-25,2017-07-07,2017-07-19,2017-07-31,2017-08-12,2017-08-24,2017-09-05,2017-09-17,2017-09-29,2017-10-11,2017-10-23,2017-11-04,2017-11-16,2017-11-28,2017-12-10,2017-12-22,2018-01-03,2018-01-15,2018-01-27,2018-02-08,2018-02-20,2018-03-04,2018-03-16,2018-03-28,2018-04-09,2018-04-21,2018-05-03,2018-05-15,2018-05-27,2018-06-08,2018-06-20,2018-07-02,2018-07-14,2018-07-26,2018-08-07,2018-08-19,2018-08-31,2018-09-12,2018-09-24,2018-10-06,2018-10-18,2018-10-30,2018-11-11,2018-11-17,2018-11-23,2018-12-05,2018-12-17,2018-12-29,2019-01-10,2019-01-22
-119.5169,36.0212,0.0,-6.1408,-1.3016,-5.2909,-7.7777,-7.28,-11.929,-14.332,-17.757,-19.895,-22.157,-26.294,-30.178,-30.607,-30.376,-32.762,-33.358,-32.769,-36.668,-35.074,-35.154,-35.734,-38.99,-37.488,-36.615,-35.534,-41.643,-42.166,-41.779,-44.089,-42.516,-47.197,-50.394,-50.249,-54.627,-56.401,-57.538,-57.732,-60.099,-60.348,-60.256,-58.992,-62.536,-61.477,-61.819,-62.72,-62.572,-62.089,-62.533,-60.441,-61.06,-60.147,-58.471,-60.803,-59.724,-58.799,-58.57,-58.786,-58.524,-59.918,-60.693,-59.419,-59.822,-58.789,-61.278,-59.209,-59.376,-60.438,-62.058,-62.15,-63.159,-64.642,-61.4,-61.617,-62.99,-62.384,-62.616,-62.441,-62.37,-64.394,-65.661,-66.186,-65.69,-67.859,-69.49,-67.926,-70.511,-69.608,-72.031,-70.864,-73.757,-74.492,-75.351,,-75.758,-78.357,-80.961,-81.657,-80.65,-83.175,-82.796,-83.119,-82.905,-82.426,-83.877,-83.012,-82.371,-83.162,-84.211,-83.623
-119.5169,36.1052,0.0,-5.5366,-1.6207,-5.5039,-8.2066,-8.4402,-11.922,-13.166,-16.899,-19.316,-20.854,-25.473,-28.948,-28.49,-30.329,-32.198,-33.24,-32.494,-35.868,-34.262,-34.772,-35.212,-38.165,-37.601,-38.338,-37.809,-42.148,-42.895,-43.727,-45.983,-44.447,-49.301,-52.581,-54.206,-57.429,-59.432,-60.451,-59.441,-62.248,-61.918,-62.203,-60.89,-64.356,-62.755,-63.326,-63.746,-63.67,-62.936,-63.521,-62.087,-62.72,-62.117,-58.929,-62.906,-62.518,-61.771,-61.584,-61.926,-62.046,-63.376,-64.425,-63.534,-64.195,-62.3,-65.378,-63.566,-62.541,-63.435,-64.774,-64.661,-65.587,-66.728,-64.503,-64.384,-65.829,-65.406,-65.027,-65.768,-65.418,-67.42,-68.731,-69.934,-68.559,-70.567,-71.901,-70.486,-73.31,-72.063,-74.782,-74.399,-76.201,-77.389,-78.238,,-80.296,-82.977,-85.095,-85.022,-83.995,-85.688,-85.271,-85.737,-85.168,-84.723,-86.46,-85.166,-84.725,-85.843,-86.469,-86.199
-119.5169,36.2212,0.0,-3.2432,-0.5001,-3.0599,-5.8701,-6.3842,-8.6143,-11.14,-14.027,-16.509,-18.102,-22.619,-25.306,-24.154,-25.279,-25.731,-26.873,-26.371,-28.513,-27.267,-27.955,-27.619,-31.232,-30.68,-30.583,-31.383,-34.268,-34.52,-35.178,-37.808,-37.489,-41.588,-45.589,-48.343,-50.651,-53.001,-53.986,-52.666,-55.673,-54.482,-55.154,-54.217,-55.824,-55.272,-55.654,-56.382,-56.572,-55.75,-56.577,-55.621,-56.177,-55.811,-53.557,-57.424,-57.348,-56.996,-56.718,-57.686,-57.819,-58.93,-59.291,-59.689,-60.382,-59.537,-62.322,-60.814,-60.824,-61.356,-62.416,-62.887,-63.668,-65.121,-62.895,-62.478,-63.848,-63.891,-63.284,-63.243,-63.438,-65.221,-65.946,-67.059,-66.622,-66.995,-67.359,-67.373,-69.47,-69.097,-71.915,-71.336,-73.174,-72.987,-74.875,,-78.378,-80.445,-82.718,-83.444,-82.423,-84.933,-84.274,-84.763,-84.561,-84.455,-85.366,-84.971,-83.837,-84.468,-84.423,-84.375
-119.5129,36.0732,0.0,-5.5784,-1.4885,-5.7631,-8.8738,-8.556,-12.067,-14.131,-17.8,-19.461,-21.562,-25.436,-28.485,-28.731,-28.511,-30.998,-31.351,-30.848,-34.701,-33.096,-33.489,-33.722,-37.356,-36.406,-35.649,-35.35,-40.075,-40.668,-40.572,-42.872,-41.756,-46.022,-48.933,-49.242,-52.559,-54.442,-55.384,-54.595,-57.792,-56.994,-57.462,-55.95,-59.298,-57.999,-58.584,-59.133,-58.935,-58.125,-58.397,-56.778,-57.527,-56.653,-53.667,-57.704,-56.78,-55.871,-55.66,-55.558,-55.719,-56.724,-57.913,-56.665,-57.412,-56.014,-58.899,-56.751,-57.049,-58.004,-59.019,-58.784,-59.857,-61.086,-57.979,-58.08,-59.292,-58.748,-58.649,-58.377,-58.83,-61.866,-63.031,-63.719,-62.771,-64.591,-66.421,-64.666,-67.113,-66.183,-68.271,-67.949,-70.626,-71.747,-71.754,,-73.242,-75.322,-77.623,-77.875,-76.208,-78.085,-77.471,-77.722,-77.684,-77.282,-79.048,-77.558,-77.158,-78.096,-78.878,-78.227
-119.5109,36.0412,0.0,-6.0018,-1.7057,-6.572,-9.7598,-9.5261,-13.86,-16.331,-19.747,-21.948,-24.662,-28.993,-32.514,-32.965,-32.394,-34.939,-35.678,-34.859,-39.008,-37.478,-37.692,-38.498,-41.923,-40.826,-40.163,-39.411,-45.209,-45.627,-45.685,-48.111,-46.546,-51.024,-54.283,-54.468,-58.765,-60.518,-61.766,-60.7,-63.864,-63.754,-63.707,-62.472,-66.399,-64.901,-65.202,-65.813,-65.756,-65.07,-65.242,-63.518,-64.266,-63.248,-61.262,-64.156,-63.417,-62.596,-62.34,-62.471,-62.475,-63.66,-64.873,-63.684,-64.39,-63.049,-65.761,-63.627,-63.877,-65.012,-66.124,-65.943,-66.973,-68.17,-65.35,-65.505,-66.805,-66.171,-66.233,-66.103,-66.269,-68.793,-70.455,-71.457,-70.509,-72.473,-73.954,-72.57,-75.113,-74.308,-76.868,-75.984,-78.889,-79.748,-80.561,,-81.005,-83.36,-86.159,-86.52,-85.13,-87.049,-86.535,-86.722,-86.734,-86.158,-87.722,-86.577,-86.338,-87.233,-87.989,-87.557
-119.5089,36.1252,0.0,-5.0867,-1.5288,-5.1218,-8.2163,-7.993,-11.758,-13.512,-17.117,-18.772,-20.941,-25.623,-28.615,-28.391,-28.766,-30.348,-31.578,-30.612,-33.906,-32.166,-32.456,-32.549,-35.308,-35.068,-34.512,-34.229,-38.474,-39.252,-39.705,-41.897,-40.461,-44.98,-48.149,-49.405,-52.684,-54.535,-55.648,-54.519,-57.624,-56.849,-56.855,-55.547,-58.575,-57.405,-57.913,-58.252,-58.163,-57.447,-58.164,-56.689,-57.344,-56.775,-53.657,-57.719,-57.18,-56.561,-56.801,-57.145,-57.14,-58.583,-59.228,-58.711,-58.492,-57.346,-60.602,-58.543,-57.632,-58.195,-60.064,-60.175,-61.083,-62.206,-59.995,-59.416,-60.986,-60.844,-60.152,-60.472,-60.539,-62.522,-63.405,-64.411,-63.145,-64.572,-65.985,-65.017,-67.57,-66.733,-69.516,-69.288,-70.748,-71.449,-73.016,,-75.23,-77.934,-79.943,-80.343,-79.341,-81.26,-80.753,-81.14,-80.984,-80.599,-82.097,-80.976,-80.325,-81.262,-81.993,-81.885
-119.5069,36.0932,0.0,-5.2018,-1.7962,-5.5507,-8.5567,-8.5962,-12.393,-14.048,-18.193,-19.731,-21.583,-26.041,-29.404,-29.201,-29.006,-31.374,-32.036,-31.327,-34.774,-33.082,-33.352,-33.589,-36.734,-36.174,-35.615,-35.769,-40.095,-40.582,-41.084,-43.495,-42.105,-46.737,-49.834,-50.982,-53.838,-55.667,-56.582,-55.886,-58.826,-58.192,-58.524,-57.001,-60.419,-58.556,-59.124,-59.639,-59.437,-58.678,-59.112,-57.781,-58.305,-57.575,-54.375,-58.855,-58.118,-57.426,-57.029,-57.311,-57.639,-58.896,-59.915,-59.072,-59.908,-58.1,-61.141,-59.291,-58.32,-59.484,-60.786,-60.565,-61.73,-63.114,-60.51,-60.483,-61.732,-61.265,-60.898,-61.159,-61.349,-63.836,-64.73,-65.741,-64.563,-66.374,-68.062,-66.411,-68.853,-67.619,-70.243,-69.563,-71.55,-72.977,-73.824,,-75.301,-77.808,-80.03,-79.98,-78.387,-80.205,-79.525,-79.837,-79.83,-79.537,-81.118,-79.795,-79.334,-80.403,-81.012,-80.681
-119.5049,36.0612,0.0,-6.1232,-1.8829,-6.3091,-9.4856,-9.047,-12.868,-15.13,-18.728,-20.344,-22.881,-26.848,-30.064,-30.429,-30.025,-32.602,-33.135,-32.397,-36.411,-34.763,-35.027,-35.577,-38.849,-37.873,-37.105,-36.393,-42.029,-42.678,-42.543,-44.893,-43.68,-47.946,-50.568,-50.976,-54.912,-56.419,-57.668,-56.923,-60.182,-59.461,-59.803,-58.567,-61.829,-60.746,-61.189,-61.549,-61.366,-60.63,-60.811,-59.22,-60.088,-59.143,-56.552,-60.296,-59.533,-58.747,-58.534,-58.601,-58.724,-59.797,-60.89,-59.763,-60.378,-59.134,-61.92,-59.665,-59.956,-60.943,-62.03,-61.805,-62.896,-64.101,-61.051,-61.282,-62.575,-61.993,-61.889,-61.526,-62.062,-64.697,-66.256,-66.97,-65.996,-67.743,-69.436,-67.797,-70.109,-69.181,-71.395,-70.957,-73.574,-74.708,-74.894,,-75.904,-78.073,-80.911,-81.024,-79.483,-81.372,-80.768,-81.038,-81.194,-80.706,-82.486,-81.011,-80.811,-81.691,-82.467,-81.86
-119.5049,36.2612,0.0,-2.8181,0.25587,-2.489,-4.5325,-5.2977,-6.6495,-8.533,-12.02,-14.814,-16.569,-20.612,-23.713,-22.942,-22.287,-23.149,-23.96,-23.196,-23.431,-22.719,-23.198,-22.548,-27.003,-25.835,-25.591,-25.755,-27.766,-28.63,-28.844,-31.908,-31.997,-34.806,-37.737,-41.136,-43.076,-45.172,-45.803,-44.386,-46.463,-45.958,-46.224,-44.93,-46.431,-45.679,-45.925,-46.303,-46.501,-45.729,-46.227,-45.814,-46.003,-45.856,-44.119,-47.242,-47.389,-47.507,-47.124,-47.838,-48.376,-50.061,-50.453,-51.511,-52.214,-52.078,-54.404,-53.515,-54.022,-53.689,-55.081,-54.982,-55.924,-57.203,-55.191,-54.949,-56.012,-56.138,-55.389,-55.272,-55.324,-56.507,-57.784,-58.771,-58.09,-57.988,-58.399,-58.801,-60.68,-60.751,-61.614,-61.424,-62.581,-62.653,-64.766,,-69.182,-71.348,-73.648,-75.32,-73.893,-76.08,-75.356,-75.1,-75.143,-74.976,-75.52,-74.884,-72.938,-73.918,-73.71,-73.463
-119.5029,35.9452,0.0,-5.4648,0.59152,-0.1796,-3.1607,-0.74245,-3.4102,-4.0812,-6.0406,-5.3213,-6.0982,-7.7584,-11.443,-10.826,-9.4011,-11.425,-11.693,-10.4,-13.842,-11.301,-11.175,-11.832,-14.14,-12.349,-10.671,-9.3616,-14.529,-13.952,-13.129,-14.615,-11.894,-15.071,-16.826,-15.197,-18.572,-19.796,-19.975,-20.25,-22.149,-21.986,-22.049,-20.127,-23.149,-21.761,-21.244,-22.402,-22.116,-21.429,-22.143,-20.456,-21.339,-21.16,-20.71,-22.713,-21.398,-20.46,-20.207,-20.262,-20.121,-21.239,-22.222,-20.505,-20.76,-18.984,-21.676,-19.692,-19.369,-20.591,-22.48,-23.009,-24.019,-25.91,-22.399,-22.827,-24.769,-24.343,-25.139,-24.479,-24.043,-25.859,-25.634,-25.66,-24.338,-25.866,-26.932,-24.064,-26.669,-24.997,-27.183,-25.283,-27.227,-26.863,-27.026,,-25.967,-28.098,-30.195,-30.91,-29.049,-32.459,-31.868,-31.728,-31.865,-31.611,-33.069,-32.159,-31.361,-31.473,-32.753,-32.261
